N, t_def, p_def, t_avx2, p_avx2, t_avx2rsqrt, p_avx2rsqrt, t_avx512, p_avx512, t_avx512rsqrt, p_avx512rsqrt, t_avx512rsqrt4i, p_avx512rsqrt4i,t_full,p_full,t_full_rsqrt,p_full_rsqrt,p_avx2_max,p_avx512_max,p_avx512rsqrt_max,p_avx512rsqrt4i_max,p_full_rsqrt8i_max
3328,0.046908,236.043878,0.010939,1012.207701,0.011746,942.661334,0.012992,852.232988,0.007362,1504.012888,0.006522,1697.750665,0.021563,513.483002,0.009688,1142.910957,1040,880,1530,1717,1257
3456,0.050587,236.038908,0.011857,1007.06978,0.01256,950.676415,0.013929,857.240108,0.007971,1498.034598,0.007061,1691.105818,0.023264,513.263102,0.010392,1148.992001,1040,880,1530,1717,1257
3584,0.054341,236.311656,0.012662,1014.180478,0.013464,953.785251,0.015057,852.844755,0.008522,1506.896595,0.007553,1700.23144,0.024994,513.780295,0.011179,1148.687747,1040,880,1530,1717,1257
3712,0.058557,235.244178,0.013628,1010.827166,0.014541,947.346385,0.01589,866.88507,0.009328,1476.801054,0.008159,1688.434529,0.026829,513.440643,0.011993,1148.582669,1040,880,1530,1717,1257
3840,0.062667,235.240166,0.014541,1013.822638,0.015565,947.122659,0.01727,853.623085,0.009773,1508.394981,0.008649,1704.429787,0.028686,513.902042,0.012889,1143.758652,1040,880,1530,1717,1257
3968,0.066903,235.282838,0.01559,1009.670683,0.01656,950.525055,0.018178,865.949061,0.010477,1502.420629,0.009271,1697.863047,0.030624,514.015086,0.013687,1150.074701,1040,880,1530,1717,1257
4096,0.071276,235.32493,0.016604,1010.200442,0.017581,954.047362,0.01965,853.597447,0.01111,1509.798619,0.009837,1705.111967,0.03262,514.204359,0.014626,1146.781061,1040,880,1530,1717,1257
4224,0.075389,236.612183,0.017667,1009.696349,0.018794,949.128847,0.020608,865.567716,0.012044,1481.035368,0.010531,1693.926675,0.034703,514.021889,0.015515,1149.731598,1040,880,1530,1717,1257
4352,0.080088,236.433909,0.0187,1012.616895,0.019891,951.987994,0.022139,855.317027,0.012526,1511.748447,0.011076,1709.558027,0.036781,514.816624,0.016594,1141.09675,1040,880,1530,1717,1257
4480,0.085315,235.198111,0.019846,1011.087529,0.021114,950.362926,0.023227,863.917213,0.01332,1506.401852,0.011788,1702.263257,0.039019,514.259572,0.017433,1151.042224,1040,880,1530,1717,1257
4608,0.090152,235.479804,0.021068,1007.649468,0.022402,947.644741,0.024823,855.207016,0.014027,1513.495225,0.01241,1710.619854,0.041232,514.868788,0.018453,1150.461248,1040,880,1530,1717,1257
4736,0.094644,236.941108,0.022302,1005.511734,0.02379,942.617265,0.025988,862.890909,0.015109,1484.222966,0.013201,1698.697797,0.043597,514.369549,0.019488,1150.727972,1040,880,1530,1717,1257
4864,0.09991,236.749207,0.023419,1010.034489,0.024936,948.560312,0.027635,855.93441,0.015619,1514.37859,0.013808,1713.093481,0.045953,514.737007,0.020652,1145.36521,1040,880,1530,1717,1257
4992,0.105544,236.063306,0.024622,1011.905595,0.026219,950.252341,0.028648,869.7019,0.016508,1509.256505,0.0146,1706.504665,0.048404,514.732346,0.021638,1151.448201,1040,880,1530,1717,1257
5120,0.110822,236.499363,0.02593,1010.786945,0.027775,943.636153,0.030674,854.451824,0.017289,1515.94358,0.015293,1713.794134,0.050884,515.078687,0.022776,1150.761707,1040,880,1530,1717,1257
5248,0.116647,236.063922,0.02735,1006.803179,0.029226,942.193114,0.031648,870.090972,0.01852,1486.812303,0.016177,1702.156417,0.0535,514.697374,0.023918,1151.261974,1040,880,1530,1717,1257
5376,0.123502,233.972147,0.028421,1016.727649,0.030265,954.769605,0.033742,856.392062,0.019057,1516.322751,0.016841,1715.829021,0.056101,515.07064,0.02522,1145.773723,1040,880,1530,1717,1257
5504,0.12921,234.412476,0.029973,1010.520675,0.031964,947.571598,0.034857,868.931471,0.02004,1511.393955,0.017717,1709.563959,0.058833,514.819961,0.026297,1151.768607,1040,880,1530,1717,1257
5632,0.135587,233.900079,0.031486,1007.226889,0.033708,940.842772,0.037072,855.462405,0.020896,1517.724157,0.018474,1716.665239,0.061575,515.046517,0.027553,1150.990394,1040,880,1530,1717,1257
5760,0.140839,235.530977,0.032811,1011.012037,0.034836,952.233354,0.038019,872.508313,0.022282,1488.695785,0.019462,1704.434574,0.064448,514.706906,0.028808,1151.484219,1040,880,1530,1717,1257
5888,0.147119,235.608994,0.034132,1015.543275,0.03644,951.235132,0.040446,857.012809,0.022828,1518.421084,0.02017,1718.516296,0.067274,515.243274,0.030252,1145.783472,1040,880,1530,1717,1257
6016,0.154252,234.592054,0.035773,1011.555489,0.038199,947.304028,0.041723,867.294641,0.023906,1513.658837,0.021123,1713.121432,0.070235,515.213945,0.031397,1152.524553,1040,880,1530,1717,1257
6144,0.161508,233.688673,0.037299,1011.894313,0.039604,953.005674,0.044152,854.83653,0.024838,1519.522586,0.021955,1719.124651,0.073219,515.47751,0.032804,1150.559896,1040,880,1530,1717,1257
6272,0.167596,234.681966,0.038861,1012.107398,0.041432,949.318637,0.045085,872.394551,0.026383,1490.823953,0.023032,1707.703491,0.076372,515.00106,0.034147,1151.849205,1040,880,1530,1717,1257
6400,0.174334,234.915251,0.040447,1012.531772,0.043362,944.448128,0.047699,858.577739,0.026942,1520.061895,0.023793,1721.22356,0.079451,515.454294,0.035727,1146.30254,1040,880,1530,1717,1257
6528,0.180811,235.650553,0.04229,1007.529905,0.044969,947.513142,0.048964,870.20021,0.028125,1514.958322,0.024844,1715.059453,0.082673,515.382899,0.036965,1152.659415,1040,880,1530,1717,1257
6656,0.188288,235.254452,0.043709,1013.41461,0.046669,949.153029,0.051713,856.564809,0.029123,1520.979432,0.025734,1721.305577,0.085891,515.721752,0.038471,1151.407465,1040,880,1530,1717,1257
6784,0.197223,233.318602,0.045425,1013.003607,0.048428,950.200487,0.052506,876.389932,0.030841,1492.017964,0.026914,1709.745459,0.089346,515.03114,0.039974,1151.1587,1040,880,1530,1717,1257
6912,0.20316,235.129321,0.046921,1018.061472,0.0501,953.474493,0.055693,857.71874,0.031406,1520.995839,0.02775,1721.415737,0.092688,515.371555,0.041661,1146.596094,1040,880,1530,1717,1257
7040,0.21054,235.36878,0.048821,1015.034236,0.051931,954.241763,0.056946,870.197609,0.032679,1516.410487,0.028863,1716.893696,0.096162,515.324078,0.042992,1152.643989,1040,880,1530,1717,1257
