#CPU Results
#Nodes, #Cores, N, t_total[s], performance[Mpairs/s], time_steps/s,ms/time_steps
1,40,1536,37.316522,12051.096344,5111.248110,0.195647
2,80,3072,45.721284,19677.989872,2085.833820,0.479425
4,160,6144,50.347178,35745.399871,947.083864,1.055873
8,320,12288,45.034049,79930.131617,529.399427,1.888933
12,480,18432,48.501572,111326.550374,327.700717,3.051565
1,40,32768,31.792763,47145.882118,43.909364,22.77418548
2,80,65536,33.305413,90010.637872,20.957555,47.71548971
4,160,131072,35.313236,169787.005438,9.882980,101.1840558
8,320,262144,35.137113,340299.537256,4.952029,201.9374281
12,480,393216,35.442536,506051.202667,3.272904,305.5390564
#FPGA Results
Nodes, dim, f_max, N, s, t_exec[s], P[Mpairs/s], Efficiency, t/timestep[us], ms/timestep, Power[W], Energy Efficiency[Mpairs/s/W]
1, 4x4, 262.500000, 1536, 142415, 10.155681, 33084.846933, 0.984668, 14023.186125, 0.071310, 222.302353, 148.828146
2, 4x4, 262.500000, 3072, 71207, 10.155794, 66168.490444, 0.984650, 7011.465544, 0.142624, 443.529510, 149.186218
4, 4x4, 262.500000, 6144, 35603, 10.155706, 132336.274677, 0.984645, 3505.714064, 0.285249, 887.452759, 149.119233
8, 4x4, 262.500000, 12288, 17801, 10.155409, 264672.836988, 0.984646, 1752.858937, 0.570497, 1772.702271, 149.304732
12, 4x4, 262.500000, 18432, 11867, 10.155119, 397009.471820, 0.984647, 1168.573261, 0.855746, 2654.402344, 149.566426
Nodes, dim, f_max, N, s, t_exec[s], P[Mpairs/s], Efficiency, t/timestep[us], Power[W], Energy Efficiency[Mpairs/s/W]
1, 4x4, 262.500000, 32768, 312, 10.125919, 33084.151758, 0.984647, 30.812017, 220.635086, 149.949640
2, 4x4, 262.500000, 65536, 156, 10.125989, 66167.847250, 0.984641, 15.405902, 444.197021, 148.960583
4, 4x4, 262.500000, 131072, 78, 10.125974, 132335.894090, 0.984642, 7.702963, 888.078552, 149.013726
8, 4x4, 262.500000, 262144, 39, 10.125921, 264673.163093, 0.984647, 3.851501, 1764.438721, 150.004168
12, 4x4, 262.500000, 393216, 78, 30.376883, 397021.257404, 0.984676, 2.567742, 2655.385010, 149.515515

