#CPU Results
#Nodes, #Cores, N, t_total[s], performance[Mpairs/s], time_steps/s
1,10,128,19.403592,204.536347,12582.206366
1,10,256,7.164755,556.106179,8518.783379
1,10,384,2.350121,1697.561251,11542.382306
1,10,512,12.451492,3206.173297,12254.515108
1,10,768,7.780500,5134.299997,8716.149223
1,10,1024,5.909660,6761.796717,6454.855431
1,10,2048,14.997728,9996.411632,2384.494561
1,10,3072,12.523840,11972.827407,1269.099562
1,10,4096,24.390301,12296.697668,733.119281
1,10,6144,22.861531,13119.872911,347.614518
1,10,8192,22.148833,13542.023124,201.816505
1,10,12288,21.387556,14019.907247,92.857734
1,10,16384,21.531134,13925.142120,51.878363
1,10,24576,20.266194,14781.353418,24.474255
1,10,32768,20.523482,14596.198998,13.594184
1,20,128,32.617561,121.674943,7484.925160
1,20,256,9.740949,409.032509,6265.816613
1,20,384,2.671394,1493.405934,10154.250534
1,20,512,12.635317,3159.528437,12076.230878
1,20,768,6.129051,6517.716939,11064.681354
1,20,1024,4.624139,8641.591552,8249.319893
1,20,2048,10.228419,14657.539464,3496.336928
1,20,3072,8.409831,17829.819344,1889.930853
1,20,4096,15.254056,19661.666669,1172.212842
1,20,6144,13.351895,22464.254645,595.196394
1,20,8192,12.805875,23422.061691,349.058526
1,20,12288,11.649382,25739.695818,170.481143
1,20,16384,11.313237,26502.062617,98.733903
1,20,24576,10.288177,29117.090934,48.210680
1,20,32768,10.614777,28221.490598,26.284113
1,40,128,90.952821,43.635148,2684.248792
1,40,256,16.554348,240.683892,3686.946872
1,40,384,6.140956,649.650439,4417.227199
1,40,512,2.736286,1458.904763,5576.170971
1,40,768,7.720070,5174.489309,8784.375865
1,40,1024,18.226404,8221.773465,7848.558798
1,40,1536,11.607177,12914.567241,5477.473212
1,40,2048,9.608765,15602.781740,3721.810343
1,40,3072,6.883371,21783.769755,2309.042945
1,40,4096,11.636290,25774.551886,1536.658170
1,40,6144,9.601895,31237.624682,827.649163
1,40,8192,8.852576,33881.664923,504.937788
1,40,12288,7.544737,39743.142453,263.229854
1,40,16384,7.189107,41705.332660,155.373954
1,40,24576,6.583624,45501.043208,75.338441
1,40,32768,6.328659,47334.641441,44.085166
#FPGA Results
Nodes, dim, f_max, N, s, t_exec[s], P[Mpairs/s], Efficiency, t/timestep[us], Power[W], Energy Efficiency[Mpairs/s/W]
1, 4x4, 262.500000, 512, 640869, 7.251133, 23168.788149, 0.689547, 0.000011, 196.454010, 117.934921
1, 4x4, 262.500000, 768, 427246, 8.642414, 29158.512001, 0.867813, 0.000020, 212.663849, 137.110807
1, 4x4, 262.500000, 1024, 320434, 10.607397, 31675.952179, 0.942737, 0.000033, 217.234879, 145.814302
1, 4x4, 262.500000, 1536, 142415, 10.155592, 33085.135137, 0.984677, 0.000071, 221.963104, 149.056913
1, 4x4, 262.500000, 2048, 80108, 10.155534, 33085.144268, 0.984677, 0.000127, 223.258865, 148.191850
1, 4x4, 262.500000, 3072, 35603, 10.155380, 33085.129591, 0.984676, 0.000285, 224.065308, 147.658421
1, 4x4, 262.500000, 4096, 20027, 10.155533, 33085.145721, 0.984677, 0.000507, 224.715210, 147.231448
1, 4x4, 262.500000, 6144, 8900, 10.154788, 33084.268765, 0.984651, 876.433817, 220.514618, 150.032089
1, 4x4, 262.500000, 8192, 5006, 10.154287, 33084.248807, 0.984650, 492.993724, 221.169403, 149.587820
1, 4x4, 262.500000, 12288, 2225, 10.154797, 33084.242043, 0.984650, 219.108277, 221.607315, 149.292193
1, 4x4, 262.500000, 16384, 1251, 10.150236, 33084.232449, 0.984650, 123.248370, 222.245117, 148.863709
1, 4x4, 262.500000, 24576, 556, 10.150279, 33084.090562, 0.984646, 54.776818, 222.633560, 148.603340
1, 4x4, 262.500000, 32768, 356, 10.154829, 33084.135716, 0.984647, 35.057212, 222.471817, 148.711581
1, 8x8, 272.220000, 128, 5316796, 80.580117, 1081.040698, 0.007756, 0.000015, 156.457779, 6.909472
1, 8x8, 272.220000, 256, 2658398, 40.769804, 4273.279621, 0.030660, 0.000015, 157.839890, 27.073509
1, 8x8, 272.220000, 384, 1772265, 27.495211, 9504.604417, 0.068194, 0.000016, 159.380203, 59.634787
1, 8x8, 272.220000, 512, 1329199, 20.857635, 16705.707024, 0.119860, 0.000016, 160.827881, 103.873202
1, 8x8, 272.220000, 768, 886132, 14.220262, 36754.731783, 0.263708, 0.000016, 163.961945, 224.166235
1, 8x8, 272.220000, 1024, 664599, 10.901333, 63926.362532, 0.458659, 0.000016, 166.271317, 384.470177
1, 8x8, 272.220000, 1536, 443066, 14.792880, 70663.984676, 0.507000, 0.000033, 173.193756, 408.005382
1, 8x8, 272.220000, 2048, 332299, 11.094766, 125623.468327, 0.901324, 0.000033, 179.225082, 700.925711
1, 8x8, 272.220000, 3072, 147688, 10.038275, 138844.454798, 0.996182, 0.000068, 182.550339, 760.581743
1, 8x8, 272.220000, 4096, 83074, 10.038213, 138844.472249, 0.996182, 0.000121, 183.056595, 758.478395
1, 8x8, 272.220000, 6144, 36922, 10.038534, 138840.868699, 0.996156, 3678.026960, 180.388306, 769.677769
1, 8x8, 272.220000, 8192, 20768, 10.038225, 138840.975886, 0.996157, 2068.891762, 180.304794, 770.034854
1, 8x8, 272.220000, 12288, 9230, 10.038030, 138840.323451, 0.996152, 919.503129, 180.151932, 770.684622
1, 8x8, 272.220000, 16384, 5192, 10.038277, 138840.245352, 0.996151, 517.220219, 180.143784, 770.719048
1, 8x8, 272.220000, 24576, 2307, 10.035854, 138840.336182, 0.996152, 229.875803, 180.144623, 770.715962
1, 8x8, 272.220000, 32768, 1476, 10.032606, 138840.127902, 0.996151, 147.120293, 180.247604, 770.274470


